"","CVE_LOC","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","POB_TOT","ANALF","SBASC","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"911","260300671","26","Sonora","030","Hermosillo","0671","Villa Luz (El Pocito)",126,1.81818181818182,75.4545454545455,0,0,0,0,2.17391304347826,67.3913043478261,21.6956713715181,"Bajo",0.828666212964678,0.813312114925886,"Medio"
"912","260300676","26","Sonora","030","Hermosillo","0676","La Yesca",165,4.16666666666667,51.6666666666667,0,4.24242424242424,5.45454545454545,8.48484848484849,7.87878787878788,26.6666666666667,22.841103990518,"Bajo",0.872416014219456,0.860982559909299,"Bajo"
"913","260300677","26","Sonora","030","Hermosillo","0677","El Zacatón",335,4.20168067226891,39.9159663865546,3.28358208955224,1.19402985074627,0,13.4328358208955,5.37313432835821,50.4477611940299,22.5428084609817,"Bajo",0.861022615851077,0.848568140768718,"Bajo"
"914","260300681","26","Sonora","030","Hermosillo","0681","Zamora",1107,4.05405405405405,39.9262899262899,0.994575045207957,0.0904159132007233,0.994575045207957,6.5158371040724,5.96745027124774,32.8209764918626,23.3421377624975,"Muy bajo",0.891553000177802,0.881834509177894,"Bajo"
"915","260300719","26","Sonora","030","Hermosillo","0719","Agrícola Oremor (Santa Patricia)",43,0,42.8571428571429,0,0,0,0,0,70.5882352941177,22.7483967293359,"Bajo",0.868875060186618,0.85712428285272,"Bajo"
"916","260300743","26","Sonora","030","Hermosillo","0743","Campo la Valiana",13,25,87.5,38.4615384615385,0,0,0,7.69230769230769,0,20.6888557198882,"Medio",0.790210887065662,0.771410610347321,"Medio"
"917","260300756","26","Sonora","030","Hermosillo","0756","Molino de Camou (San Isidro)",1277,3.8662486938349,47.7533960292581,4.24528301886792,0.157232704402516,0.786163522012579,3.06603773584906,5.34591194968553,45.6761006289308,22.7335983156581,"Bajo",0.86830983474555,0.856508404665415,"Bajo"
"918","260300760","26","Sonora","030","Hermosillo","0760","Santa Teresa (Los Ruices)",15,0,30.7692307692308,0,0,0,0,0,26.6666666666667,24.4420832324336,"Muy bajo",0.933565419679887,0.927611876732805,"Muy bajo"
"919","260300767","26","Sonora","030","Hermosillo","0767","Fraccionamiento Chula Vista",39,3.125,31.25,5.12820512820513,0,5.12820512820513,0,0,23.0769230769231,24.061830292525,"Muy bajo",0.919041657852612,0.91178656623351,"Muy bajo"
"920","260300783","26","Sonora","030","Hermosillo","0783","Fructuoso Méndez",80,3.2258064516129,46.7741935483871,7.5,0,0,0,10,46.25,22.6371361459709,"Bajo",0.864625461974582,0.852493856383152,"Bajo"
"921","260300813","26","Sonora","030","Hermosillo","0813","Fraccionamiento Campestre la Colmena",21,0,43.75,0,0,0,0,0,71.4285714285714,22.6959147028434,"Bajo",0.866870509076051,0.854940093652038,"Bajo"
