"","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","...1","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","POB_TOTAL","P6A14NAE","SBASC","PSDSS","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVSINT","OVSCEL","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"1","2601700012456","26","017","0001","2456",234,26,"Sonora","017","Caborca","0001","Heroica Caborca","2456",323,1.47058823529412,23.7885462555066,23.2198142414861,0,0,0,0.928792569659443,2.1671826625387,35.6037151702786,4.64396284829721,26.9349845201238,122.635973078482,"Bajo",0.95798623874727,0.90737789145758,"Bajo"
"2","2601702463261","26","017","0246","3261",271,26,"Sonora","017","Caborca","0246","Plutarco Elías Calles (La Y Griega)","3261",88,7.14285714285714,57.3770491803279,32.9545454545455,0,17.0454545454545,6.81818181818182,36.3636363636364,42.0454545454545,90.9090909090909,9.09090909090909,62.5,104.72028897003,"Muy alto",0.818035632063074,0.584492977456192,"Muy alto"
"3","2601700012653","26","017","0001","2653",243,26,"Sonora","017","Caborca","0001","Heroica Caborca","2653",437,0,9,11.2128146453089,0,0,0,0,0.45766590389016,10.2974828375286,0.22883295194508,7.55148741418764,126.185676798842,"Muy bajo",0.985715193232419,0.971352327127504,"Muy bajo"
"4","2601700013064","26","017","0001","3064",254,26,"Sonora","017","Caborca","0001","Heroica Caborca","3064",214,2.27272727272727,25.1798561151079,21.4953271028037,0,0,0,1.4018691588785,2.33644859813084,28.0373831775701,4.67289719626168,20.0934579439252,122.772646078123,"Bajo",0.959053876974273,0.90984107675758,"Bajo"
"5","2601700013399","26","017","0001","3399",260,26,"Sonora","017","Caborca","0001","Heroica Caborca","3399",915,6.01092896174863,19.8664440734558,18.5995623632385,0,0.441988950276243,0.552486187845304,0,2.43093922651934,30.2762430939227,2.09944751381215,20.1104972375691,122.764918457429,"Bajo",0.958993511698921,0.909701805930516,"Bajo"
"6","2601702462827","26","017","0246","2827",268,26,"Sonora","017","Caborca","0246","Plutarco Elías Calles (La Y Griega)","2827",85,13.6363636363636,46.2962962962963,24.7058823529412,0,1.17647058823529,4.70588235294118,0,14.1176470588235,100,2.35294117647059,40,116.479536511158,"Alto",0.909894464668526,0.796423686216953,"Alto"
"7","2601700012672","26","017","0001","2672",244,26,"Sonora","017","Caborca","0001","Heroica Caborca","2672",652,2.30769230769231,9.72222222222222,14.5705521472393,0,0,0,0,0.306748466257669,15.1840490797546,2.30061349693252,21.319018404908,124.850073235926,"Muy bajo",0.975281958989828,0.94728144940151,"Muy bajo"
"8","2601700012920","26","017","0001","2920",249,26,"Sonora","017","Caborca","0001","Heroica Caborca","2920",253,10,27.4390243902439,17.7865612648221,0.395256916996047,0.790513833992095,0.790513833992095,0,3.55731225296443,35.5731225296443,2.76679841897233,35.9683794466403,120.701126352911,"Medio",0.942871941607095,0.872507170651717,"Medio"
"9","2601700012422","26","017","0001","2422",233,26,"Sonora","017","Caborca","0001","Heroica Caborca","2422",77,7.69230769230769,30.3571428571429,24.6753246753247,0,0,0,6.49350649350649,0,15.5844155844156,1.2987012987013,36.3636363636364,120.749443802722,"Medio",0.943249379408164,0.8733779705348,"Medio"
"10","2601700012475","26","017","0001","2475",236,26,"Sonora","017","Caborca","0001","Heroica Caborca","2475",325,2.63157894736842,27.2727272727273,15.0769230769231,0,0,0,0,2.15384615384615,27.0769230769231,0,34.4615384615385,123.111980713152,"Bajo",0.961704631907983,0.915956725693216,"Bajo"
